5.6037,-0.187
5.6879,-0.0373
5.6683,-0.0379
5.6995,-0.0583
5.56,-0.488
5.5833,-0.1
5.7142,-0.1542
5.6931,-0.0327
5.6784,-0.1713
5.5752,-0.1468
5.587938,-0.238539
5.582,-0.2557
5.5512,-0.2526
5.5112,-0.2848
5.6142,-0.1963
5.6553,-0.2784
5.6667,-0.356
5.5666,-0.3335
5.5774,-0.3137
5.5195,-0.488
6.7252,-1.6566
6.7226,-1.6445
6.2335,-0.3972
5.8118,-1.8974
6.7175,-1.562
6.6905,-1.6494
6.5972,-1.579
6.854,-1.579
6.7151,-1.5091
6.54049,-1.47645
5.6037,-0.187
5.6879,-0.0373
5.6683,-0.0379
5.6995,-0.0583
5.5833,-0.1
5.7142,-0.1542
5.6931,-0.0327
5.6784  -0.1713
5.5752,-0.1468
5.587938,-0.238539
5.582,-0.2557
5.5512,-0.2526
5.6142,-0.1963
5.6553,-0.2784
5.6667,-0.356
5.5666,-0.3335
5.5774,-0.3137
5.5195,-0.488
6.7252,-1.6566
6.7226,-1.6445
6.2335,-0.3972
5.8118,-1.8974
6.7175,-1.562
6.6905,-1.6494
6.5972,-1.579
6.854,-1.579
6.7151,-1.5091
6.54049,-1.47645
